property,papers_with_value,total_occurrences,distinct_values_count,distinct_values_sample,min_value,max_value
aldSystem.aldMethod.[0].compound,7,19,5,"['Al2O3', 'IGZO', 'IGZO (In-Ga-Zn-O)', 'In2O3', 'InOx']",,
aldSystem.aldMethod.[0].method,7,19,3,"['PEALD', 'SALD', 'TALD']",,
aldSystem.aldMethod.[1].compound,6,14,5,"['Al2O3 (gate insulator)', 'Ga2O3', 'IGZO', 'SiO2', 'ZnO']",,
aldSystem.aldMethod.[1].method,6,14,1,['PEALD'],,
aldSystem.aldMethod.[2].compound,5,11,4,"['Al2O3', 'GaOx', 'InZnO (gate electrode / IZO)', 'ZnO']",,
aldSystem.aldMethod.[2].method,5,11,2,"['PEALD', 'TALD']",,
aldSystem.materialDeposited,7,19,6,"['Al2O3', 'IGZO (In-Ga-Zn-O)', 'In-Ga-Zn-O (IGZO)', 'In-Ga-Zn-O (IGZO); Al2O3; SiO2', 'In0.52Ga0.18Zn0.30O (a-IGZO)', 'InGaZnO (IGZO)']",,
deviceProperties.deviceStructure,7,19,7,"['TG-BC IGZO TFT on PI substrate', 'Top-gate staggered a-IGZO TFT on glass substrate', 'Vertical channel-all-around (CAA) IGZO FET (examples: CD = 4 µm, L = 50 nm; also CD = 130 nm devices reported)', 'bottom-gate', 'bottom-gate top-contact', 'staggered bottom-gate, top-contact (bottom-gate top-contact)', 'top-gate bottom-contact (TG-BC)']",,
deviceProperties.fieldEffectMobility.quantityValue.numericValue,6,18,0,[],4.8,65.5
deviceProperties.onOffRatio.quantityValue.numericValue,1,5,0,[],290000000.0,890000000.0
deviceProperties.subthresholdSwing.quantityValue.numericValue,7,19,0,[],61.0,1580.0
deviceProperties.thresholdVoltage.quantityValue.numericValue,7,19,0,[],-6.96,3.09
materialProperties.chemicalComposition,7,19,6,"['Al2O3', 'IGZO', 'In-Ga-Zn-O (IGZO)', 'In0.52Ga0.18Zn0.30O', 'InGaZnO', 'InGaZnO (IGZO)']",,
materialProperties.crystallinity.characterizationMethod,4,9,4,"['GI-XRD; TEM (FFT)', 'TEM, XRD', 'XRD, GIWAXS', 'XRD, TEM']",,
materialProperties.crystallinity.phase,6,14,3,"['Composition-dependent (amorphous, hexagonal-ZnO, cubic-In2O3, polycrystalline cubic-In2O3)', 'Highly oriented crystalline (c-axis-aligned) at high annealing temperatures (>600 °C); amorphous at as-deposited/low temperatures', 'amorphous']",,
materialProperties.filmComposition.atomicRatio.characterizationMethod,5,13,4,"['ALD subcycle ratio (12:1:1 of In2O3:ZnO:Ga2O3)', 'RBS/ERD', 'XPS', 'XRF']",,
materialProperties.filmComposition.atomicRatio.elements,7,50,5,"['Al', 'Ga', 'In', 'O', 'Zn']",,
materialProperties.filmComposition.atomicRatio.value,7,19,14,"['0.52:0.18:0.30', '0.56-0.63:0.13-0.17:0.17-0.34', '0.9:1.6:1', '1.6:1.7:1', '12:1:1', '1:1.53', '1:1.64', '1:1.82', '1:1:1', '2.1:1.8:1', '2.6:1.7:1', '2.8:1.7:1', '2:1:1.3', '2:3']",,
materialProperties.filmComposition.elementalConcentration.characterizationMethod,5,13,3,"['ERD', 'XPS', 'XRF']",,
materialProperties.filmComposition.elementalConcentration.values.quantityValue.numericValue,1,2,0,[],8.9,8.9
materialProperties.filmDensity.characterizationMethod,5,15,2,"['GI-XRR', 'XRR']",,
materialProperties.filmDensity.value.quantityValue.numericValue,4,10,0,[],2.55,6.9
materialProperties.roughness.characterizationMethod,2,8,2,"['AFM', 'GIXRR']",,
materialProperties.roughness.value.quantityValue.numericValue,1,3,0,[],0.48,0.52
materialProperties.uniformity.variation.quantityValue.numericValue,2,3,0,[],1.26,3.0
otherAspects.filmStability,3,7,0,[],1.0,1.0
otherAspects.reproducibility,2,4,0,[],1.0,1.0
processParameters.plasmaPower.quantityValue.numericValue,5,7,0,[],38.0,300.0
processParameters.pressure.quantityValue.numericValue,3,10,0,[],0.35,760.0
processParameters.reactor.manufacturer,1,5,1,['ISAC Research Inc.'],,
processParameters.reactor.name,2,6,3,"['TFS200', 'lateral-flow-type plasma-enhanced ALD (PEALD) with RF (13.56 MHz) direct capacitance-coupled plasma (CCP) source', 'vertical-flow-type ALD chamber']",,
processParameters.substrate,7,19,7,"['8-in wafer', 'Si and thermally oxidized SiO2 (100 nm) wafers', 'Si(100) and soda-lime glass', 'Si(100) with native oxide (after acetone washing)', 'glass', 'highly boron-doped polished Silicon (Si) wafers', 'thermally grown SiO2-buffered substrate (100 nm)']",,
processParameters.supercycleDesign.numberofSubcycles.[0].compound,2,6,2,"['In2O3', 'InOx']",,
processParameters.supercycleDesign.numberofSubcycles.[0].count.quantityValue.numericValue,1,1,0,[],6.0,6.0
processParameters.supercycleDesign.numberofSubcycles.[1].compound,2,6,2,"['Ga2O3', 'ZnO']",,
